"Date","Price","Open","High","Low","Vol.","Change %"
"11/13/1998","0.32","0.31","0.32","0.31","791.82M","6.67%"
"11/12/1998","0.30","0.30","0.31","0.29","595.10M","0.00%"
"11/11/1998","0.30","0.32","0.32","0.29","948.39M","-3.23%"
"11/10/1998","0.31","0.32","0.32","0.31","883.98M","-6.06%"
"11/09/1998","0.33","0.34","0.34","0.32","660.79M","-2.94%"
"11/06/1998","0.34","0.34","0.34","0.33","797.34M","0.00%"
"11/05/1998","0.34","0.34","0.35","0.34","607.12M","-2.86%"
"11/04/1998","0.35","0.34","0.35","0.34","627.88M","2.94%"
"11/03/1998","0.34","0.33","0.34","0.33","370.45M","0.00%"
"11/02/1998","0.34","0.33","0.34","0.33","253.77M","3.03%"
"10/30/1998","0.33","0.33","0.33","0.32","317.64M","0.00%"
"10/29/1998","0.33","0.33","0.33","0.32","344.58M","0.00%"
"10/28/1998","0.33","0.31","0.33","0.31","363.71M","6.45%"
"10/27/1998","0.31","0.34","0.35","0.31","538.19M","-6.06%"
"10/26/1998","0.33","0.32","0.34","0.32","475.84M","3.13%"
"10/23/1998","0.32","0.33","0.33","0.31","355.98M","-3.03%"
"10/22/1998","0.33","0.33","0.34","0.32","317.37M","0.00%"
"10/21/1998","0.33","0.33","0.33","0.32","430.62M","3.13%"
"10/20/1998","0.32","0.34","0.34","0.32","382.09M","-3.03%"
"10/19/1998","0.33","0.33","0.34","0.32","475.78M","0.00%"
"10/16/1998","0.33","0.33","0.34","0.33","615.56M","0.00%"
"10/15/1998","0.33","0.32","0.33","0.32","840.67M","0.00%"
"10/14/1998","0.33","0.35","0.37","0.33","2.28B","-5.71%"
"10/13/1998","0.35","0.34","0.35","0.32","941.63M","6.06%"
"10/12/1998","0.33","0.33","0.34","0.33","622.90M","6.45%"
"10/09/1998","0.31","0.28","0.31","0.27","668.24M","10.71%"
"10/08/1998","0.28","0.28","0.28","0.25","688.77M","-3.45%"
"10/07/1998","0.29","0.29","0.30","0.28","473.36M","0.00%"
"10/06/1998","0.29","0.30","0.31","0.29","399.86M","0.00%"
"10/05/1998","0.29","0.30","0.31","0.28","551.88M","-6.45%"
"10/02/1998","0.31","0.32","0.32","0.30","475.57M","-3.12%"
"10/01/1998","0.32","0.33","0.34","0.32","370.22M","-5.88%"
"09/30/1998","0.34","0.35","0.35","0.34","167.18M","-2.86%"
"09/29/1998","0.35","0.35","0.36","0.34","305.13M","0.00%"
"09/28/1998","0.35","0.35","0.36","0.34","405.42M","0.00%"
"09/25/1998","0.35","0.34","0.35","0.34","228.29M","2.94%"
"09/24/1998","0.34","0.34","0.35","0.34","482.84M","0.00%"
"09/23/1998","0.34","0.33","0.34","0.33","287.92M","3.03%"
"09/22/1998","0.33","0.33","0.34","0.32","257.94M","0.00%"
"09/21/1998","0.33","0.32","0.33","0.32","295.87M","0.00%"
"09/18/1998","0.33","0.32","0.33","0.32","305.08M","3.13%"
"09/17/1998","0.32","0.32","0.33","0.32","269.29M","-3.03%"
"09/16/1998","0.33","0.34","0.35","0.33","258.88M","-2.94%"
"09/15/1998","0.34","0.33","0.34","0.33","433.65M","3.03%"
"09/14/1998","0.33","0.34","0.35","0.33","247.07M","-2.94%"
"09/11/1998","0.34","0.34","0.35","0.33","352.29M","0.00%"
"09/10/1998","0.34","0.32","0.34","0.32","526.88M","3.03%"
"09/09/1998","0.33","0.34","0.34","0.33","354.69M","-2.94%"
"09/08/1998","0.34","0.34","0.34","0.33","402.80M","9.68%"
"09/04/1998","0.31","0.32","0.33","0.30","377.27M","0.00%"
"09/03/1998","0.31","0.31","0.31","0.30","409.75M","-3.12%"
"09/02/1998","0.32","0.32","0.33","0.31","843.00M","6.67%"
"09/01/1998","0.30","0.28","0.32","0.27","869.08M","7.14%"
"08/31/1998","0.28","0.31","0.31","0.28","868.22M","-9.68%"
"08/28/1998","0.31","0.33","0.34","0.30","932.26M","-6.06%"
"08/27/1998","0.33","0.35","0.35","0.32","1.11B","-8.33%"
"08/26/1998","0.36","0.36","0.37","0.35","406.48M","0.00%"
"08/25/1998","0.36","0.38","0.38","0.36","495.57M","-2.70%"
"08/24/1998","0.37","0.39","0.39","0.36","610.18M","-2.63%"
"08/21/1998","0.38","0.36","0.39","0.35","813.38M","5.56%"
